      32	   8	      4096	     0.327 GigaMultsPerSecond
      64	   8	      8192	     0.745 GigaMultsPerSecond
     256	   8	     32768	     0.627 GigaMultsPerSecond
    2048	   8	    262144	     1.980 GigaMultsPerSecond
    8192	   8	   1048576	     2.567 GigaMultsPerSecond
      32	  16	      2048	     0.371 GigaMultsPerSecond
      64	  16	      4096	     0.868 GigaMultsPerSecond
     256	  16	     16384	     0.779 GigaMultsPerSecond
    2048	  16	    131072	     3.501 GigaMultsPerSecond
    8192	  16	    524288	     4.743 GigaMultsPerSecond
      32	  32	      1024	     0.504 GigaMultsPerSecond
      64	  32	      2048	     0.858 GigaMultsPerSecond
     256	  32	      8192	     0.360 GigaMultsPerSecond
    2048	  32	     65536	     3.915 GigaMultsPerSecond
    8192	  32	    262144	     7.820 GigaMultsPerSecond
      32	  64	       512	     0.402 GigaMultsPerSecond
      64	  64	      1024	     0.775 GigaMultsPerSecond
     256	  64	      4096	     0.866 GigaMultsPerSecond
    2048	  64	     32768	     3.361 GigaMultsPerSecond
    8192	  64	    131072	     8.946 GigaMultsPerSecond
      32	 128	       256	     0.460 GigaMultsPerSecond
      64	 128	       512	     1.138 GigaMultsPerSecond
     256	 128	      2048	     0.958 GigaMultsPerSecond
    2048	 128	     16384	     0.386 GigaMultsPerSecond
    8192	 128	     65536	    10.508 GigaMultsPerSecond
      32	 256	       128	     0.272 GigaMultsPerSecond
      64	 256	       256	     0.788 GigaMultsPerSecond
     256	 256	      1024	     0.761 GigaMultsPerSecond
    2048	 256	      8192	     4.393 GigaMultsPerSecond
    8192	 256	     32768	     9.796 GigaMultsPerSecond
      32	 512	        64	     0.372 GigaMultsPerSecond
      64	 512	       128	     0.871 GigaMultsPerSecond
     256	 512	       512	     0.988 GigaMultsPerSecond
    2048	 512	      4096	     4.764 GigaMultsPerSecond
    8192	 512	     16384	    10.849 GigaMultsPerSecond
